Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2018,0S73,054,2849,ARRA - Neighborhood Stabilization Program Income,491000,154000,,154000
2018,0S85,054,2850,ARRA - Neighborhood Stabilization Program Income,1499000,49000,,49000
2018,2883,054,0V43,Abandoned Residential Property Municipality Relief Program,3600000,,3000000,3000000
2018,2863,054,0K43,Choice Neighborhoods Implementation,416000,,,
2018,2885,054,0V41,Coastal Management Grant,60000,,40000,40000
2018,2880,054,0J63,Community Development Block Grant - Disaster Recovery,8147000,,6900000,6900000
2018,2884,054,0V40,Conservation Innovation,1000000,,694000,694000
2018,2886,054,0V74,Cook County Highway Program (Invest In Cook),500000,,500000,500000
2018,2868,054,0K32,Foreclosure Prevention Program,1456000,,300000,300000
2018,2819,054,0K73,Home Investment Partnership,13861000,,12777000,12777000
2018,2819,054,0K14,Home Investment Partnership,6038000,,3704000,3704000
2018,2819,054,0K89,Home Investment Partnership,15246000,,13680000,13680000
2018,2819,054,0V47,Home Investment Partnership,,14875000,,14875000
2018,2819,054,0V24,Home Investment Partnership,14875000,,14734000,14734000
2018,2874,054,0K51,Low Income Housing Trust Fund,22654000,,,
2018,2874,054,0V48,Low Income Housing Trust Fund,,6000000,,6000000
2018,2832,054,0K17,Ravenswood Industrial Cooridor,102000,,,
2018,2882,054,0293,Rental Rehabilitation,400000,400000,,400000
2018,2882,054,0J44,Community Development Block Grant,27767478,27671161,,27671161
2018,2882,054,0J44,Total - 054 - Department of Planning and Development,118825478,49186161,56329000,105515161
2018,2882,054,0J44,Total - City Development,120566478,50493161,56864000,107357161
2018,2882,067,0J44,Community Development Block Grant,6981274,6965676,,6965676
2018,2882,067,0J44,Total - 067 - Department of Buildings,6981274,6965676,,6965676
2018,2815,070,0P20,Cable Local Origination,600000,1259000,,1259000
2018,2815,070,0P20,Total - 070 - Department of Business Affairs and Consumer Protection,600000,1259000,,1259000
2018,2815,070,0P20,Total - Regulatory,7581274,8224676,,8224676
2018,2815,070,0P20,Total - All Programs,1438319000,1027425000,402535000,1429960000
2019,2810,001,0J83,100 Resilient Cities Initiative,245000,,77000,77000
2019,2829,001,0Z50,Chicago Green Living Program (Green Living),25000,,25000,25000
2019,2830,001,0Z51,Chicago Green Living Program (Partners for Places),75000,,75000,75000
2019,2823,001,0Z07,Cities of Services,25000,,,
2019,2826,001,0Z10,Gun Violence,140000,147000,,147000
2019,2827,001,0Z26,HBS Fellows Program,45000,,23000,23000
2019,2827,001,0Z49,HBS Fellows Program,82000,,41000,41000
2019,2828,001,0Z29,Pathways to Freedom,316000,,285000,285000
2019,2825,001,0Z11,Police Reform,158000,,132000,132000
2019,2804,001,0Z01,Smart Grid / Energy Efficiency Consumer Education,139000,,100000,100000
2019,2831,001,0Z52,Workforce Innovation,400000,,400000,400000
2019,2831,001,0Z52,Total - 001 - Office of the Mayor,1650000,147000,1158000,1305000
2019,2855,005,0075,Central Grants Management,1952000,2031000,,2031000
2019,2880,005,0J63,Community Development Block Grant - Disaster Recovery,259000,,259000,259000
2019,2820,005,0Z27,Labor Management Cooperation,95000,,50000,50000
2019,2820,005,0Z28,Labor Management Cooperation,10000,,4000,4000
2019,2820,005,0J45,Community Development Block Grant,3684180,3106011,,3106011
2019,2820,005,0J45,Total - 005 - Office of Budget and Management,6000180,5137011,313000,5450011
2019,2829,006,0X61,Bioterrorism Response Planning,459000,459000,230000,689000
2019,2829,006,0X61,Total - 006 - Department of Innovation and Technology,459000,459000,230000,689000
2019,2855,027,0075,Central Grants Management,,345000,,345000
2019,2855,027,0J45,Community Development Block Grant,1229158,1232660,,1232660
2019,2855,027,0J45,Total - 027 - Department of Finance,1229158,1577660,,1577660
2019,2855,031,0J45,Community Development Block Grant,1688869,1845892,,1845892
2019,2855,031,0J45,Total - 031 - Department of Law,1688869,1845892,,1845892
2019,2801,035,0Z24,Accelerator's Procurement,50000,,,
2019,2801,035,0Z24,Total - 035 - Department of Procurement Services,50000,,,
2019,2852,038,0Z39,Anadarko / Streeterville Removal,45315000,,45315000,45315000
2019,2851,038,0Z25,Chicago Bee Library Renovation,2320000,,817000,817000
2019,2848,038,0Z04,Municipal Brownfields Redevelopment,400000,,370000,370000
2019,2842,038,0J99,Public Sector Energy Efficiency Aggregation Program,452000,,315000,315000
2019,2842,038,0Z00,Public Sector Energy Efficiency Aggregation Program,274000,,198000,198000
2019,2836,038,0P14,Streeterville Thorium Moratorium Area Environmental Settlement Funds,2124000,,,
2019,2836,038,0J45,Community Development Block Grant,155994,268943,,268943
2019,2836,038,0J45,Total - 038 - Department of Fleet and Facility Management,51040994,268943,47015000,47283943
2019,2836,038,0J45,Total - Finance and Administration,62118201,9435506,48716000,58151506
2019,2968,084,0W00,Chicago Metropolitan Agency for Planning (CMAP) Local Assistance Program,,200000,,200000
2019,2996,084,0W01,Chicago Transit Authority Infrastructure Improvement,1700000,1700000,,1700000
2019,2805,084,0W02,Congestion Mitigation Air Quality - Federal,29000000,46100000,,46100000
2019,2873,084,0W03,Cook County Highway Program,19380000,18000000,,18000000
2019,2995,084,0W04,Cubs Fund for Neighborhood Improvements,,250000,,250000
2019,280M,084,0W24,Department of Commerce and Economic Opportunity,,7906000,,7906000
2019,2869,084,0W05,High Priority / SAFETEA - LU - Federal,3760000,1003000,,1003000
2019,2925,084,0W06,Highway Safety Improvement Program,,4290000,,4290000
2019,280E,084,0L98,IDOT Transportation Funds,69000000,88053000,,88053000
2019,280L,084,0W23,Illinois Competitive Freight Program,,2760000,,2760000
2019,280K,084,0W22,Illinois Secretary of State Grant,,900000,,900000
2019,2993,084,0W11,Illinois Transportation Enhancement Program,,2304000,,2304000
2019,2906,084,0W12,Major Bridge - Federal,,5060000,,5060000
2019,280G,084,0L99,National Priority Safety Program,465000,500000,,500000
2019,280N,084,0W25,New Freedom Program,,1772000,,1772000
2019,2901,084,0M07,Outside Funding Contributions,100000,1000000,,1000000
2019,2921,084,0W13,Safe Routes to School,,1300000,,1300000
2019,2981,084,0W15,State Planning and Research,1776000,2400000,,2400000
2019,2820,084,0W16,Surface Transportation Program - Federal - Construction,80000000,149748000,,149748000
2019,2994,084,0W18,Transportation Alternatives Program,,29000000,,29000000
2019,280P,084,0W20,Transportation Planning,,950000,,950000
2019,280H,084,0W21,Uniform Work Program,797000,1200000,,1200000
2019,280H,084,0J45,Community Development Block Grant,,3320099,,3320099
2019,280H,084,0J45,Total - 084 - Chicago Department of Transportation,205978000,369716099,,369716099
2019,2825,085,0624,AIP - Letter of Intent (LOI) Funding,65000000,65000000,,65000000
2019,2824,085,0623,Midway - AIP - Noise Program,17500000,25000000,17500000,42500000
2019,2805,085,0623,Midway - Airport Improvement Program,35720000,200000,35720000,35920000
2019,2807,085,0623,Midway TSA,43181000,526000,42655000,43181000
2019,2810,085,0624,O'Hare - Airport Improvement Program,31342000,18500000,31342000,49842000
2019,2813,085,0624,O'Hare - Airport Improvement Program (AIP) - Noise Program,35000000,,35000000,35000000
2019,2811,085,0624,O'Hare - Transportation Security Administration,70845000,21643000,54600000,76243000
2019,2815,085,0624,O'Hare / Midway - TSA National Explosives Detection Canine Team Program,1061000,1061000,,1061000
2019,2800,085,0624,O'Hare Airport - FAA (MOA) - Phase II,7600000,,7600000,7600000
2019,2800,085,0624,Total - 085 - Chicago Department of Aviation,307249000,131930000,224417000,356347000
2019,2809,088,0L69,Albany Park Flood Control Project 1,11000000,,7762000,7762000
2019,2880,088,0J63,Community Development Block Grant - Disaster Recovery,6667000,,6099000,6099000
2019,2880,088,0J63,Total - 088 - Department of Water Management,17667000,,13861000,13861000
2019,2880,088,0J63,Total - Infrastructure Services,530894000,501646099,238278000,739924099
2019,2816,057,0657,Asset Forfeiture - Federal,827000,827000,,827000
2019,2816,057,0B17,Asset Forfeiture - Federal,3246000,4399000,,4399000
2019,2817,057,0191,Asset Forfeiture - State,2536000,4108000,,4108000
2019,280H,057,0Z71,BJA Body Worn Cameras,,640000,,640000
2019,280H,057,0V58,BJA Body Worn Cameras,573000,,468000,468000
2019,280H,057,0V10,BJA Body Worn Cameras,50000,,,
2019,280H,057,0Z72,BJA Body Worn Cameras,,640000,,640000
2019,280H,057,0V80,BJA Body Worn Cameras,574000,,464000,464000
2019,2808,057,0K57,Bulletproof Vests Partnership - BJA,1000,,,
2019,2983,057,0Z67,COPS Hiring Program,,1065000,,1065000
2019,2983,057,0V84,COPS Hiring Program,1065000,2063000,1065000,3128000
2019,2983,057,0V18,COPS Hiring Program,1400000,1480000,240000,1720000
2019,2983,057,0Z66,COPS Hiring Program,,3125000,,3125000
2019,2983,057,0V49,COPS Hiring Program,3125000,,3125000,3125000
2019,2983,057,0V00,COPS Hiring Program,531000,,,
2019,2909,057,0K86,Community Policing Development,18000,,,
2019,2909,057,0V07,Community Policing Development,95000,,80000,80000
2019,2996,057,0V03,Edward Byrne Memorial Justice Assistance Grant (JAG),922000,,600000,600000
2019,2996,057,0V19,Edward Byrne Memorial Justice Assistance Grant (JAG),2202000,,2202000,2202000
2019,2996,057,0V99,Edward Byrne Memorial Justice Assistance Grant (JAG),,2300000,,2300000
2019,2996,057,0V50,Edward Byrne Memorial Justice Assistance Grant (JAG),2269000,,2269000,2269000
2019,280Q,057,0V75,First Responders Comprehensive Addiction and Recovery,2000000,,2000000,2000000
2019,2999,057,0K76,Get Behind the Vest,1100000,500000,267000,767000
2019,2968,057,0Z83,IDOT Sustained Traffic Enforcement Program (STEP),414000,,381000,381000
2019,2968,057,0V93,IDOT Sustained Traffic Enforcement Program (STEP),,376000,,376000
2019,2968,057,0V51,IDOT Sustained Traffic Enforcement Program (STEP),370000,,,
2019,2987,057,0V97,Injury Prevention,,108000,,108000
2019,2987,057,0Z84,Injury Prevention,119000,,116000,116000
2019,2987,057,0W84,Injury Prevention,214000,,210000,210000
2019,2987,057,0V98,Injury Prevention,,194000,,194000
2019,2987,057,0V52,Injury Prevention,109000,,,
2019,280S,057,0W88,Innovations in Community Based Crime Reduction,326000,,325000,325000
2019,2935,057,0V89,Justice and Mental Health Collaboration,,750000,,750000
2019,280U,057,0V92,Law Enforcement Cameras,200000,,,
2019,2995,057,0Z86,Local Alcohol Program,500000,,492000,492000
2019,2995,057,0V95,Local Alcohol Program,,458000,,458000
2019,2995,057,0V53,Local Alcohol Program,504000,,,
2019,280R,057,0V86,Local Law Enforcement Crime Gun Intelligence Integration,799000,,799000,799000
2019,2882,057,0V13,National Explosives Detection Canine Team Program,758000,758000,321000,1079000
2019,280D,057,0K79,Optimizing Video Technology in Urban Policing,240000,,240000,240000
2019,280A,057,0V70,Paul Coverdell Forensic Science Improvement,248000,,248000,248000
2019,280A,057,0Z70,Paul Coverdell Forensic Science Improvement,,250000,,250000
2019,280N,057,0V39,Port Security,159000,,,
2019,280N,057,0V59,Port Security,570000,,570000,570000
2019,280N,057,0V88,Port Security,,261000,,261000
2019,280N,057,0V85,Port Security,199000,,199000,199000
2019,280N,057,0V87,Port Security,,781000,,781000
2019,2859,057,0V68,Project Safe Neighborhoods,500000,,500000,500000
2019,2854,057,0P87,Public Safety Private Support,4066000,7000000,4000000,11000000
2019,2982,057,0V17,Smart Policing Innovation,461000,,260000,260000
2019,2811,057,0V69,Technology Opportunities for Public Safety,500000,,445000,445000
2019,2811,057,0Z77,Technology Opportunities for Public Safety,500000,,500000,500000
2019,2921,057,0V14,Transit Security,300000,,120000,120000
2019,2921,057,0V91,Transit Security,,8464000,,8464000
2019,2921,057,0V54,Transit Security,3729000,,1036000,1036000
2019,2844,057,0V56,Violence Against Women - Domestic Violence Protection,88000,,,
2019,2844,057,0Z80,Violence Against Women - Domestic Violence Protection,,34000,,34000
2019,2844,057,0Z79,Violence Against Women - Domestic Violence Protection,,100000,,100000
2019,2844,057,0Z96,Violence Against Women - Domestic Violence Protection,33000,,,
2019,2842,057,0Z97,Violence Against Women - Sexual Assault Program,18000,,,
2019,2842,057,0Z82,Violence Against Women - Sexual Assault Program,,25000,,25000
2019,2842,057,0V57,Violence Against Women - Sexual Assault Program,45000,,,
2019,2842,057,0Z81,Violence Against Women - Sexual Assault Program,,75000,,75000
2019,280P,057,0V55,Vision Zero,214000,,,
2019,280P,057,0V55,Total - 057 - Chicago Police Department,38717000,40781000,23542000,64323000
2019,0X69,058,2825,ARRA - 2006 Hazardous Materials Emergency Preparedness Grant,80000,,80000,80000
2019,2826,058,0M02,ComEd - Weather Emergency Grant,47000,,47000,47000
2019,2900,058,0V72,Complex Coordinated Terrorist Attack,700000,,700000,700000
2019,2820,058,0V62,Emergency Management Assistance,618000,,618000,618000
2019,2820,058,0Z94,Emergency Management Assistance,,625000,,625000
2019,2888,058,0M11,Hazard Mitigation,442000,,442000,442000
2019,2835,058,0M02,Nextel Frequency Reconfiguration Project,493000,,493000,493000
2019,2831,058,0U94,Port Security Grant,,435000,,435000
2019,2831,058,0V63,Port Security Grant,1305000,,1305000,1305000
2019,2831,058,0V81,Port Security Grant,484000,,183000,183000
2019,2831,058,0V26,Port Security Grant,1452000,,547000,547000
2019,2902,058,0Z95,Preparedness and Response,350000,,350000,350000
2019,2901,058,0V76,Pritzker Camera Installation,50000,,,
2019,2811,058,0V61,Urban Areas Security Initiative - Phse 3 (ODP),41411000,,41411000,41411000
2019,2811,058,0K94,Urban Areas Security Initiative - Phse 3 (ODP),40585000,,11287000,11287000
2019,2811,058,0K68,Urban Areas Security Initiative - Phse 3 (ODP),13304000,,,
2019,2811,058,0V27,Urban Areas Security Initiative - Phse 3 (ODP),41340000,,31538000,31538000
2019,2893,058,0V71,Video Surveillance Network,5000000,,,
2019,2899,058,0V44,Wrigley Field Cameras,875000,,,
2019,2899,058,0V44,Total - 058 - Office of Emergency Management and Communications,148536000,1060000,89001000,90061000
2019,2812,059,0Z92,Assistance to Firefighters,,3000000,,3000000
2019,2812,059,0Z93,Assistance to Firefighters,,450000,,450000
2019,2810,059,0V37,Fire Academy Training and Improvement,2747000,,,
2019,2810,059,0Z87,Fire Academy Training and Improvement,,3200000,,3200000
2019,2810,059,0V67,Fire Academy Training and Improvement,2802000,,2802000,2802000
2019,2815,059,0Z65,Fire Prevention and Safety,,25000,,25000
2019,2815,059,0V73,Fire Prevention and Safety,,500000,,500000
2019,2824,059,0Z88,Port Security,,751000,,751000
2019,2824,059,0V36,Port Security,4000,,,
2019,2824,059,0V64,Port Security,207000,,207000,207000
2019,2824,059,0Z91,Port Security,69000,,69000,69000
2019,2824,059,0Z89,Port Security,,251000,,251000
2019,2823,059,0V35,Securing the City,10000000,6675000,9923000,16598000
2019,2823,059,0V35,Total - 059 - Chicago Fire Department,15829000,14852000,13001000,27853000
2019,2823,059,0V35,Total - Public Safety,203082000,56693000,125544000,182237000
2019,2979,041,0X97,Adult Viral Hepatitis,163000,103000,,103000
2019,2714,041,0U62,Air Pollution Control Program,,508000,,508000
2019,2714,041,0U08,Air Pollution Control Program,412000,103000,412000,515000
2019,2883,041,0X60,Bioterrorism Hospital Preparedness Program,2680000,2764000,1298000,4062000
2019,2829,041,0X61,Bioterrorism Preparedness Response Planning,14232000,9615000,4826000,14441000
2019,2998,041,0X86,Body Art and Tanning Inspection,104000,104000,78000,182000
2019,2998,041,0X44,Body Art and Tanning Inspection,34000,,,
2019,2983,041,0U51,Breastfeeding Peer Counseling,,40000,,40000
2019,2983,041,0U11,Breastfeeding Peer Counseling,69000,,20000,20000
2019,280K,041,0X47,Building & Strengthening Epidemiology & Health IT Capacity - Ebola Supplement,1500000,,750000,750000
2019,2710,041,0X63,Building Epidemiology and Health IT Capacity,3577000,,750000,750000
2019,2710,041,0X10,Building Epidemiology and Health IT Capacity,950000,,,
2019,2710,041,0U52,Building Epidemiology and Health IT Capacity,,1900000,,1900000
2019,280R,041,0U01,C3 Clinical and Translation Research,120000,120000,,120000
2019,2700,041,0U13,Care Van Blue Cross,75000,,38000,38000
2019,2804,041,0U80,Childhood Lead Poisoning Prevention,445000,,223000,223000
2019,2804,041,0U81,Childhood Lead Poisoning Prevention,,445000,,445000
2019,2713,041,0U56,Dating Matters,,20000,,20000
2019,2713,041,0U46,Dating Matters,17000,,,
2019,2871,041,0U16,Dental Sealant,212000,,120000,120000
2019,2871,041,0U57,Dental Sealant,,60000,,60000
2019,2729,041,0U58,Genetics Education / Follow Up Services,,117000,,117000
2019,2729,041,0U17,Genetics Education / Follow Up Services,117000,,59000,59000
2019,2978,041,0X42,HIV Behavioral Surveillance,544000,695000,,695000
2019,280Y,041,0U40,HIV Surveillance and Prevention,9204000,9204000,,9204000
2019,2961,041,0X71,HOPWA Housing and Health Study Program,,1488000,,1488000
2019,2961,041,0X55,HOPWA Housing and Health Study Program,483000,,,
2019,280N,041,0X95,HPV Vaccine Coverage,500000,,193000,193000
2019,280M,041,0U82,Healthy Chicago 2.0,97000,90000,,90000
2019,280M,041,0X96,Healthy Chicago 2.0,43000,,10000,10000
2019,2849,041,0U19,Healthy Families Illinois,247000,,121000,121000
2019,2849,041,0U59,Healthy Families Illinois,,247000,,247000
2019,280Z,041,0U78,High Risk Infant Follow-Up,,582000,,582000
2019,280Z,041,0U54,High Risk Infant Follow-Up,,72000,,72000
2019,280Z,041,0U77,High Risk Infant Follow-Up,582000,,291000,291000
2019,280Z,041,0U70,High Risk Infant Follow-Up,72000,,36000,36000
2019,280F,041,0H89,Hospital Preparedness Program Ebola Preparedness and Response,2474000,,1399000,1399000
2019,2932,041,0H80,Housing Opportunities for People with AIDS (HOPWA),603000,,,
2019,2932,041,0U60,Housing Opportunities for People with AIDS (HOPWA),,8500000,,8500000
2019,2932,041,0H36,Housing Opportunities for People with AIDS (HOPWA),481000,,,
2019,2932,041,0U22,Housing Opportunities for People with AIDS (HOPWA),9010000,,4505000,4505000
2019,280A,041,0H88,Immunization Billing Services,276000,,,
2019,2820,041,0U23,Immunizations and Vaccines for Children,,5500000,,5500000
2019,2820,041,0X75,Immunizations and Vaccines for Children,5000000,,893000,893000
2019,2884,041,0X76,Lead Based Paint Hazard Control (Torrens Fund),250000,,250000,250000
2019,2944,041,0U44,Lead Hazard Reduction Demonstration Program,3900000,,3900000,3900000
2019,280L,041,0X57,Lead Poisoning Surveillance,65000,,,
2019,2730,041,0U61,Local Health Protection,,5564000,,5564000
2019,2730,041,0U25,Local Health Protection,5564000,,2782000,2782000
2019,2910,041,0U26,Maternal and Child Health Block Grant,,9020000,,9020000
2019,2910,041,0X78,Maternal and Child Health Block Grant,9020000,,235000,235000
2019,2887,041,0X79,Morbidity and Risk Behavior Surveillance,706000,550000,156000,706000
2019,2737,041,0X52,Reduce HIV and Improve Care for MSM and Transgender People,5555000,,2007000,2007000
2019,280P,041,0X99,Resiliency in Communities After Stress and Trauma,1000000,1000000,750000,1750000
2019,2721,041,0H26,Resource Conservation,600000,150000,265000,415000
2019,2731,041,0X81,Ryan White HIV Care Act Part A - Emergency Relief,1500000,,,
2019,2731,041,0U29,Ryan White HIV Care Act Part A - Emergency Relief,29158000,,1500000,1500000
2019,2731,041,0U64,Ryan White HIV Care Act Part A - Emergency Relief,,28500000,,28500000
2019,2814,041,0U30,Sexually Transmitted Disease Prevention,2251000,,,
2019,2814,041,0U65,Sexually Transmitted Disease Prevention,,1900000,,1900000
2019,2722,041,0X16,Solid Waste Management,143000,143000,72000,215000
2019,2984,041,0X84,Summer Food Program,167000,167000,62000,229000
2019,2984,041,0H12,Summer Food Program,100000,,,
2019,2878,041,0X33,Tanning Facilities Inspections,5000,,,
2019,280G,041,0U71,Teen Pregnancy Prevention Evaluation,1000000,1000000,500000,1500000
2019,280G,041,0X56,Teen Pregnancy Prevention Evaluation,60000,,,
2019,280G,041,0X92,Teen Pregnancy Prevention Evaluation,500000,,,
2019,2868,041,0U35,Tobacco Free Communities,650000,,325000,325000
2019,2868,041,0U72,Tobacco Free Communities,,625000,,625000
2019,2824,041,0X27,Tuberculosis Control,1185000,1035000,150000,1185000
2019,2720,041,0U37,Underground Storage Tank Inspection,550000,,275000,275000
2019,2720,041,0U73,Underground Storage Tank Inspection,,550000,,550000
2019,2808,041,0U38,"Women, Infants and Children Nutrition",4786000,,2305000,2305000
2019,2808,041,0U74,"Women, Infants and Children Nutrition",,4610000,,4610000
2019,280Q,041,0X98,Zika Surveillance,300000,,,
2019,280Q,041,0J45,Community Development Block Grant,13052038,12614619,,12614619
2019,280Q,041,0J45,Total - 041 - Department of Public Health,136390038,109705619,31556000,141261619
2019,280Q,045,0J45,Community Development Block Grant,1207130,1314216,,1314216
2019,280Q,045,0J45,Total - 045 - Commission on Human Relations,1207130,1314216,,1314216
2019,2802,048,0819,Access Chicago Support,73000,,57000,57000
2019,2800,048,0833,Amplified Phones Program (ITAC/TTY),103000,30000,99000,129000
2019,2818,048,0J87,CHA Home Modification Program,92000,,41000,41000
2019,2817,048,0833,Disabled Youth Employment Program,4000,4000,3000,7000
2019,2807,048,0819,Home Modification Program - Chicago Fund Support,10000,,1000,1000
2019,2804,048,0833,Illustrated Guide,25000,,25000,25000
2019,2832,048,0833,RTA - ADA Certification Appeals Program,13000,6000,8000,14000
2019,2805,048,0Z47,Substance Abuse and AIDS Prevention for the Hearing Impaired,,39000,,39000
2019,2805,048,0Z19,Substance Abuse and AIDS Prevention for the Hearing Impaired,39000,,39000,39000
2019,2805,048,0Z21,Substance Abuse and AIDS Prevention for the Hearing Impaired,186000,,186000,186000
2019,2805,048,0Z41,Substance Abuse and AIDS Prevention for the Hearing Impaired,,186000,,186000
2019,2812,048,0Z22,Work Incentive Planning and Assistance,212000,,212000,212000
2019,2812,048,0Z40,Work Incentive Planning and Assistance,,212000,,212000
2019,2812,048,0J45,Community Development Block Grant,3359747,3096927,,3096927
2019,2812,048,0J45,Total - 048 - Mayor's Office for People with Disabilities,4116747,3573927,671000,4244927
2019,2904,050,0T73,Area Plan on Aging - Older Americans Act - Federal,13000000,,9750000,9750000
2019,2904,050,0Y20,Area Plan on Aging - Older Americans Act - Federal,186000,,93000,93000
2019,2904,050,0Y22,Area Plan on Aging - Older Americans Act - Federal,,186000,,186000
2019,2904,050,0Y21,Area Plan on Aging - Older Americans Act - Federal,,13000000,,13000000
2019,2903,050,0T74,Area Plan on Aging - Older Americans Act - State,8000000,,6000000,6000000
2019,2903,050,0Y23,Area Plan on Aging - Older Americans Act - State,,8000000,,8000000
2019,2896,050,0Y44,CHA Family Supportive Services,,3164000,,3164000
2019,2896,050,0T37,CHA Family Supportive Services,1582000,,,
2019,2923,050,0Y19,Chicago Domestic Violence Help Line,317000,,152000,152000
2019,2923,050,0Y46,Chicago Domestic Violence Help Line,,317000,,317000
2019,2923,050,0T76,Chicago Domestic Violence Help Line,455000,,304000,304000
2019,2923,050,0Y45,Chicago Domestic Violence Help Line,,455000,,455000
2019,2943,050,0Y47,Child Care Services,,21000000,,21000000
2019,2943,050,0T77,Child Care Services,21000000,,10500000,10500000
2019,2805,050,0T40,Community Services Block Grant,1650000,,,
2019,2805,050,0N25,Community Services Block Grant,2662000,,2662000,2662000
2019,2805,050,0Y10,Community Services Block Grant,,11170000,,11170000
2019,2805,050,0T78,Community Services Block Grant,11161000,,1650000,1650000
2019,2962,050,0Y35,Early Childhood Block Grant,,72800000,,72800000
2019,2962,050,0Y07,Early Childhood Block Grant,72800000,,36400000,36400000
2019,2962,050,0T70,Early Childhood Block Grant,33000000,,2000000,2000000
2019,2956,050,0T81,Early Head Start - Child Care Partnership,15700000,,7840000,7840000
2019,2956,050,0Y48,Early Head Start - Child Care Partnership,,15700000,,15700000
2019,2857,050,0Y33,Early Head Start Initiative,,19700000,,19700000
2019,2857,050,0T80,Early Head Start Initiative,19700000,,17600000,17600000
2019,2846,050,0Y26,Elder Abuse and Neglect,,158000,,158000
2019,2846,050,0T82,Elder Abuse and Neglect,158000,,79000,79000
2019,2944,050,0T45,Emergency Solutions,993000,,,
2019,2944,050,0Y11,Emergency Solutions,,6491000,,6491000
2019,2944,050,0T84,Emergency Solutions,6491000,,3250000,3250000
2019,2942,050,0Y12,Emergency and Transitional Housing,,4814000,,4814000
2019,2942,050,0T83,Emergency and Transitional Housing,4714000,,2357000,2357000
2019,2969,050,0Y08,Enumeration of Homeless Veterans Point in Time Count,,48000,,48000
2019,2815,050,0Y17,Foster Grandparents,,245000,,245000
2019,2815,050,0Y41,Foster Grandparents,245000,,122000,122000
2019,2815,050,0T85,Foster Grandparents,541000,,271000,271000
2019,2815,050,0Y16,Foster Grandparents,,541000,,541000
2019,2968,050,0Y36,Generic Prevention Domestic Violence,,181000,,181000
2019,2968,050,0Y01,Generic Prevention Domestic Violence,181000,,91000,91000
2019,2860,050,0T79,Head Start,118000000,,109000000,109000000
2019,2860,050,0Y34,Head Start,,118000000,,118000000
2019,2971,050,0Y09,Hive - Project Innovation,10000,,,
2019,2836,050,0T87,Long Term Care Ombudsman Program - Cmp,120000,,120000,120000
2019,2836,050,0Y28,Long Term Care Ombudsman Program - Cmp,,120000,,120000
2019,2820,050,0Y27,Long Term Care System Development,,62000,,62000
2019,2820,050,0T88,Long Term Care System Development,62000,,31000,31000
2019,2937,050,0T89,Medicare Improvements for Patients and Providers Act,112000,,94000,94000
2019,2937,050,0Y24,Medicare Improvements for Patients and Providers Act,,112000,,112000
2019,2801,050,0Y30,OAA Nutrition Program Income - Congregate Meals,,445000,,445000
2019,2801,050,0Y29,OAA Nutrition Program Income - Congregate Meals,445000,,445000,445000
2019,2802,050,0Y30,OAA Nutrition Program Income - Home Delivered Meals,,218000,,218000
2019,2802,050,0Y29,OAA Nutrition Program Income - Home Delivered Meals,218000,,218000,218000
2019,2807,050,0Y13,OAA Title V / Senior Community Service Employment,,645000,,645000
2019,2807,050,0Y40,OAA Title V / Senior Community Service Employment,130000,,65000,65000
2019,2807,050,0T92,OAA Title V / Senior Community Service Employment,645000,,323000,323000
2019,2807,050,0Y14,OAA Title V / Senior Community Service Employment,,130000,,130000
2019,2961,050,0Y49,Performance Partnership Pilots for Disconnected Youth,,874000,,874000
2019,2961,050,0T34,Performance Partnership Pilots for Disconnected Youth,874000,,,
2019,2961,050,0T67,Performance Partnership Pilots for Disconnected Youth,655000,,,
2019,2910,050,0074,Senior Citizens Picnic Support,25000,25000,,25000
2019,2868,050,0T95,Senior Companion Project - Action,286000,286000,143000,429000
2019,2868,050,0Y42,Senior Companion Project - Action,139000,139000,68000,207000
2019,2816,050,0Y30,Senior Fitness Private,,35000,,35000
2019,2816,050,0Y29,Senior Fitness Private,35000,,35000,35000
2019,2946,050,0Y31,Senior Health Assistance Program,,345000,,345000
2019,2946,050,0T96,Senior Health Assistance Program,342000,,171000,171000
2019,2945,050,0T98,Senior Medicare Patrol,20000,,10000,10000
2019,2945,050,0Y25,Senior Medicare Patrol,,20000,,20000
2019,2837,050,0P64,Senior Program Private Contributions,955000,50000,200000,250000
2019,2936,050,0869,Shelter Plus Care,53000,,,
2019,2818,050,0Y02,State Foster Grandparents,35000,,16000,16000
2019,2818,050,0Y18,State Foster Grandparents,,32000,,32000
2019,2803,050,0Y50,State Senior Companion MATCH,16000,,8000,8000
2019,2803,050,0Y32,State Senior Companion MATCH,,16000,,16000
2019,2862,050,0Y15,State Senior Employment Specialist,,25000,,25000
2019,2862,050,0Y03,State Senior Employment Specialist,25000,,13000,13000
2019,2953,050,0Y37,Summer Jobs Connect Program,,1100000,,1100000
2019,2953,050,0Y04,Summer Jobs Connect Program,982000,,,
2019,2873,050,0Y38,Title XX Donated Funds,,1257000,,1257000
2019,2873,050,0Y05,Title XX Donated Funds,1257000,,630000,630000
2019,2873,050,0Y39,Title XX Donated Funds,,271000,,271000
2019,2873,050,0Y43,Title XX Donated Funds,271000,,137000,137000
2019,2822,050,0168,Warming Center Program - Service Tax Trust Fund,15000,15000,,15000
2019,2822,050,0J45,Community Development Block Grant,25263334,24324886,,24324886
