Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2019,0100,081,2060,0362,Paints and Painting Supplies,800,800,800,640
2019,0100,081,2060,0363,"Structural Steels, Iron and Other Related Materials",270,270,270,243
2019,0100,081,2060,0300,Commodities and Materials - Total*,149945,101445,101445,77440
2019,0100,081,2060,0400,Equipment,,,,
2019,0100,081,2060,0423,Communication Devices,900,900,900,840
2019,0100,081,2060,0440,Machinery and Equipment,150150,109901,109901,135
2019,0100,081,2060,0400,Equipment - Total*,151050,110801,110801,975
2019,0100,081,2060,,Appropriation Total*,17943006,17539313,17539313,18208472
2019,0100,084,2105,0000,Personnel Services,,,,
2019,0100,084,2105,0005,Salaries and Wages - on Payroll,2750763,2766725,2766725,2075836
2019,0100,084,2105,0015,Schedule Salary Adjustments,6485,5260,5260,
2019,0100,084,2105,0000,Personnel Services - Total*,2757248,2771985,2771985,2075836
2019,0100,084,2105,0100,Contractual Services,,,,
2019,0100,084,2105,0130,Postage,550,750,750,528
2019,0100,084,2105,0140,For Professional and Technical Services and Other Third,66000,66000,66000,61228
2019,0100,084,2105,0159,Lease Purchase Agreements for Equipment and Machinery,15319,15319,15319,14395
2019,0100,084,2105,0166,"Dues, Subscriptions and Memberships",102543,102543,102543,
2019,0100,084,2105,0168,Educational Development through Cooperative Education,8000,,,
2019,0100,084,2105,0178,Freight and Express Charges,250,250,250,
2019,0100,084,2105,0181,Mobile Communication Services,11600,12751,12751,2700
2019,0100,084,2105,0190,Telephone - Non-Centrex Billings,7100,10622,10622,14306
2019,0100,084,2105,0191,Telephone - Relocations of Phone Lines,400,400,400,
2019,0100,084,2105,0197,Telephone - Maintenance and Repair of Equipment and,18,20,20,20
2019,0100,084,2105,0100,Contractual Services - Total*,211780,208655,208655,93177
2019,0100,084,2105,0200,Travel,,,,
2019,0100,084,2105,0245,Reimbursement to Travelers,2500,2500,2500,2121
2019,0100,084,2105,0270,Local Transportation,200,200,200,83
2019,0100,084,2105,0200,Travel - Total*,2700,2700,2700,2204
2019,0100,084,2105,0300,Commodities and Materials,,,,
2019,0100,084,2105,0340,Material and Supplies,1600,1600,1600,1431
2019,0100,084,2105,0350,Stationery and Office Supplies,5500,5500,5500,4984
2019,0100,084,2105,0300,Commodities and Materials - Total*,7100,7100,7100,6415
2019,0100,084,2105,0900,Financial Purposes as Specified,,,,
2019,0100,084,2105,0931,"For the Payment of Tort and Non-Tort Judgments, Outside",1300000,1300000,1300000,1102709
2019,0100,084,2105,0900,Financial Purposes as Specified - Total,1300000,1300000,1300000,1102709
2019,0100,084,2105,,Appropriation Total*,4278828,4290440,4290440,3280341
2019,0100,084,2115,0000,Personnel Services,,,,
2019,0100,084,2115,0005,Salaries and Wages - on Payroll,4901622,4823069,4823069,4981651
2019,0100,084,2115,0012,Contract Wage Increment - Prevailing Rate,1173,1104,1104,
2019,0100,084,2115,0015,Schedule Salary Adjustments,33289,18408,18408,
2019,0100,084,2115,0039,For the Employment of Students as Trainees,5000,10000,10000,3174
2019,0100,084,2115,0000,Personnel Services - Total*,4941084,4852581,4852581,4984825
2019,0100,084,2115,0100,Contractual Services,,,,
2019,0100,084,2115,0130,Postage,250,500,500,351
2019,0100,084,2115,0140,For Professional and Technical Services and Other Third,80750,97750,97750,85765
2019,0100,084,2115,0150,Publications and Reproduction - Outside Services to Be,1000,1000,1000,114
2019,0100,084,2115,0152,Advertising,250,500,500,286
2019,0100,084,2115,0159,Lease Purchase Agreements for Equipment and Machinery,17365,17365,17365,12968
2019,0100,084,2115,0160,Repair or Maintenance of Property,,6250,6250,3442
2019,0100,084,2115,0166,"Dues, Subscriptions and Memberships",400,1500,1500,170
2019,0100,084,2115,0168,Educational Development through Cooperative Education,2400,2400,2400,2219
2019,0100,084,2115,0171,Miscellaneous Supplies,,850,850,530
2019,0100,084,2115,0178,Freight and Express Charges,300,300,300,
2019,0100,084,2115,0181,Mobile Communication Services,15120,15190,15190,42150
2019,0100,084,2115,0190,Telephone - Non-Centrex Billings,15500,22700,22700,25000
2019,0100,084,2115,0191,Telephone - Relocations of Phone Lines,500,500,500,
2019,0100,084,2115,0197,Telephone - Maintenance and Repair of Equipment and,655,720,720,576
2019,0100,084,2115,0100,Contractual Services - Total*,134490,167525,167525,173571
2019,0100,084,2115,0200,Travel,,,,
2019,0100,084,2115,0270,Local Transportation,300,300,300,
2019,0100,084,2115,0200,Travel - Total*,300,300,300,
2019,0100,084,2115,0300,Commodities and Materials,,,,
2019,0100,084,2115,0348,Books and Related Material,2200,2200,2200,2800
2019,0100,084,2115,0350,Stationery and Office Supplies,12000,12000,12000,8060
2019,0100,084,2115,0300,Commodities and Materials - Total*,14200,14200,14200,10860
2019,0100,084,2115,,Appropriation Total*,5090074,5034606,5034606,5169256
2019,0100,084,2125,0100,Contractual Services,,,,
2019,0100,084,2125,0140,For Professional and Technical Services and Other Third,1991330,1791330,1791330,
2019,0100,084,2125,0100,Contractual Services - Total*,1991330,1791330,1791330,
2019,0100,084,2125,,Appropriation Total*,1991330,1791330,1791330,
2019,0100,084,2130,0000,Personnel Services,,,,
2019,0100,084,2130,0005,Salaries and Wages - on Payroll,971163,932986,932986,753559
2019,0100,084,2130,0015,Schedule Salary Adjustments,3133,3055,3055,
2019,0100,084,2130,0000,Personnel Services - Total*,974296,936041,936041,753559
2019,0100,084,2130,0100,Contractual Services,,,,
2019,0100,084,2130,0130,Postage,,250,250,174
2019,0100,084,2130,0138,For Professional Services for Information Technology,6000,6000,6000,5857
2019,0100,084,2130,0140,For Professional and Technical Services and Other Third,200300,101000,101000,101000
2019,0100,084,2130,0149,For Software Maintenance and Licensing,5000,5000,5000,2780
2019,0100,084,2130,0159,Lease Purchase Agreements for Equipment and Machinery,1400,1400,1400,6296
2019,0100,084,2130,0162,Repair/Maintenance of Equipment,15167117,14486360,14486360,14486360
2019,0100,084,2130,0166,"Dues, Subscriptions and Memberships",2100,2600,2600,1048
2019,0100,084,2130,0169,Technical Meeting Costs,2000,2500,2500,2820
2019,0100,084,2130,0181,Mobile Communication Services,3045,3090,3090,
2019,0100,084,2130,0100,Contractual Services - Total*,15386962,14608200,14608200,14606335
2019,0100,084,2130,0200,Travel,,,,
2019,0100,084,2130,0229,Transportation and Expense Allowance,,300,300,
2019,0100,084,2130,0245,Reimbursement to Travelers,2500,,,1897
2019,0100,084,2130,0200,Travel - Total*,2500,300,300,1897
2019,0100,084,2130,0300,Commodities and Materials,,,,
2019,0100,084,2130,0345,Apparatus and Instruments,,2000,2000,61
2019,0100,084,2130,0348,Books and Related Material,350,1100,1100,
2019,0100,084,2130,0350,Stationery and Office Supplies,2000,2000,2000,1880
2019,0100,084,2130,0300,Commodities and Materials - Total*,2350,5100,5100,1941
2019,0100,084,2130,,Appropriation Total*,16366108,15549641,15549641,15363732
2019,0100,084,2140,0000,Personnel Services,,,,
2019,0100,084,2140,0005,Salaries and Wages - on Payroll,3507104,3333691,3333691,2902022
2019,0100,084,2140,0012,Contract Wage Increment - Prevailing Rate,29421,20964,20964,
2019,0100,084,2140,0015,Schedule Salary Adjustments,8755,15885,15885,
2019,0100,084,2140,0020,Overtime,29442,29442,29442,26446
2019,0100,084,2140,0000,Personnel Services - Total*,3574722,3399982,3399982,2928468
2019,0100,084,2140,0100,Contractual Services,,,,
2019,0100,084,2140,0130,Postage,200,200,200,141
2019,0100,084,2140,0140,For Professional and Technical Services and Other Third,400000,400000,400000,400000
2019,0100,084,2140,0149,For Software Maintenance and Licensing,9000,9000,9000,8459
2019,0100,084,2140,0159,Lease Purchase Agreements for Equipment and Machinery,5540,5540,5540,5204
2019,0100,084,2140,0160,Repair or Maintenance of Property,5500,5500,5500,4608
2019,0100,084,2140,0162,Repair/Maintenance of Equipment,4000,8250,8250,7752
2019,0100,084,2140,0181,Mobile Communication Services,28200,30209,30209,
2019,0100,084,2140,0185,Waste Disposal Services,3000,3000,3000,2815
2019,0100,084,2140,0188,Vehicle Tracking Service,,4272,4272,3978
2019,0100,084,2140,0100,Contractual Services - Total*,455440,465971,465971,432957
2019,0100,084,2140,0300,Commodities and Materials,,,,
2019,0100,084,2140,0319,Clothing,1300,1300,1300,1220
2019,0100,084,2140,0340,Material and Supplies,486283,486283,486283,430764
2019,0100,084,2140,0350,Stationery and Office Supplies,6400,6400,6400,6016
2019,0100,084,2140,0362,Paints and Painting Supplies,40000,40000,40000,37449
2019,0100,084,2140,0300,Commodities and Materials - Total*,533983,533983,533983,475449
2019,0100,084,2140,0400,Equipment,,,,
2019,0100,084,2140,0440,Machinery and Equipment,2800,22800,22800,1832
2019,0100,084,2140,0446,"For the Purchase of Data Processing, Office Automation and",1000,5000,5000,5000
2019,0100,084,2140,0400,Equipment - Total*,3800,27800,27800,6832
2019,0100,084,2140,,Appropriation Total*,4567945,4427736,4427736,3843706
2019,0100,084,2145,0000,Personnel Services,,,,
2019,0100,084,2145,0005,Salaries and Wages - on Payroll,3238500,3162348,3162348,2993285
2019,0100,084,2145,0015,Schedule Salary Adjustments,8139,8751,8751,
2019,0100,084,2145,0000,Personnel Services - Total*,3246639,3171099,3171099,2993285
2019,0100,084,2145,0100,Contractual Services,,,,
2019,0100,084,2145,0130,Postage,250,500,500,351
2019,0100,084,2145,0140,For Professional and Technical Services and Other Third,872371,668371,668371,667359
2019,0100,084,2145,0149,For Software Maintenance and Licensing,20000,14000,14000,12260
2019,0100,084,2145,0150,Publications and Reproduction - Outside Services to Be,950,950,950,
2019,0100,084,2145,0152,Advertising,1250,1250,1250,2100
2019,0100,084,2145,0153,Promotions,2000,2000,2000,1880
2019,0100,084,2145,0157,Rental of Equipment and Services,13500,13500,13500,13487
2019,0100,084,2145,0159,Lease Purchase Agreements for Equipment and Machinery,23286,23286,23286,21853
2019,0100,084,2145,0162,Repair/Maintenance of Equipment,8932,8932,8932,8396
2019,0100,084,2145,0166,"Dues, Subscriptions and Memberships",37635,32589,32589,30535
2019,0100,084,2145,0169,Technical Meeting Costs,1700,1700,1700,3052
2019,0100,084,2145,0178,Freight and Express Charges,200,200,200,
2019,0100,084,2145,0181,Mobile Communication Services,5000,5253,5253,900
2019,0100,084,2145,0190,Telephone - Non-Centrex Billings,8700,13300,13300,13195
2019,0100,084,2145,0197,Telephone - Maintenance and Repair of Equipment and,51,58,58,58
2019,0100,084,2145,0100,Contractual Services - Total*,995825,785889,785889,775426
2019,0100,084,2145,0200,Travel,,,,
2019,0100,084,2145,0245,Reimbursement to Travelers,2100,2100,2100,1351
2019,0100,084,2145,0270,Local Transportation,150,50,50,36
2019,0100,084,2145,0200,Travel - Total*,2250,2150,2150,1387
2019,0100,084,2145,0300,Commodities and Materials,,,,
2019,0100,084,2145,0312,Software Purchases,22200,45000,45000,15000
2019,0100,084,2145,0345,Apparatus and Instruments,,8200,8200,5972
2019,0100,084,2145,0348,Books and Related Material,400,400,400,
2019,0100,084,2145,0350,Stationery and Office Supplies,7250,7550,7550,4434
2019,0100,084,2145,0300,Commodities and Materials - Total*,29850,61150,61150,25406
2019,0100,084,2145,9100,Purposes as Specified,,,,
2019,0100,084,2145,9142,Ex-Offender/Re-Entry Initiatives,250000,250000,250000,250000
2019,0100,084,2145,9100,Purposes as Specified - Total,250000,250000,250000,250000
2019,0100,084,2145,,Appropriation Total*,4524564,4270288,4270288,4045504
2019,0100,084,2150,0000,Personnel Services,,,,
2019,0100,084,2150,0005,Salaries and Wages - on Payroll,8080611,7825750,7825750,6549945
2019,0100,084,2150,0012,Contract Wage Increment - Prevailing Rate,97807,76015,76015,
2019,0100,084,2150,0015,Schedule Salary Adjustments,3156,4858,4858,
2019,0100,084,2150,0020,Overtime,148775,148775,148775,559853
2019,0100,084,2150,0039,For the Employment of Students as Trainees,,4000,4000,
2019,0100,084,2150,0000,Personnel Services - Total*,8330349,8059398,8059398,7109798
2019,0100,084,2150,0100,Contractual Services,,,,
2019,0100,084,2150,0130,Postage,200,294,294,207
2019,0100,084,2150,0149,For Software Maintenance and Licensing,2000,7000,7000,
2019,0100,084,2150,0157,Rental of Equipment and Services,38060,38060,38060,35743
2019,0100,084,2150,0159,Lease Purchase Agreements for Equipment and Machinery,25451,22583,22583,21228
2019,0100,084,2150,0162,Repair/Maintenance of Equipment,28398,28398,28398,26692
2019,0100,084,2150,0181,Mobile Communication Services,12000,12637,12637,168000
2019,0100,084,2150,0188,Vehicle Tracking Service,5696,32771,32771,64893
2019,0100,084,2150,0189,Telephone - Non-Centrex Billings,2500,2300,2300,2000
2019,0100,084,2150,0190,Telephone - Non-Centrex Billings,52800,56000,56000,42000
2019,0100,084,2150,0196,Data Circuits,16500,64300,64300,33374
2019,0100,084,2150,0197,Telephone - Maintenance and Repair of Equipment and,162,180,180,180
2019,0100,084,2150,0100,Contractual Services - Total*,183767,264523,264523,394317
2019,0100,084,2150,0200,Travel,,,,
2019,0100,084,2150,0229,Transportation and Expense Allowance,14000,16000,16000,8791
2019,0100,084,2150,0200,Travel - Total*,14000,16000,16000,8791
2019,0100,084,2150,0300,Commodities and Materials,,,,
2019,0100,084,2150,0319,Clothing,5600,5600,5600,4783
2019,0100,084,2150,0340,Material and Supplies,504670,548070,548070,514361
2019,0100,084,2150,0350,Stationery and Office Supplies,7900,8955,8955,5921
2019,0100,084,2150,0300,Commodities and Materials - Total*,518170,562625,562625,525065
2019,0100,084,2150,0400,Equipment,,,,
2019,0100,084,2150,0446,"For the Purchase of Data Processing, Office Automation and",10000,21000,21000,20644
2019,0100,084,2150,0400,Equipment - Total*,10000,21000,21000,20644
2019,0100,084,2150,,Appropriation Total*,9056286,8923546,8923546,8058615
2019,0100,084,2155,0000,Personnel Services,,,,
2019,0100,084,2155,0005,Salaries and Wages - on Payroll,11181466,10767278,10767278,9753961
2019,0100,084,2155,0012,Contract Wage Increment - Prevailing Rate,91244,83199,83199,
2019,0100,084,2155,0015,Schedule Salary Adjustments,27093,15964,15964,
2019,0100,084,2155,0020,Overtime,1500000,1648000,1648000,1290440
2019,0100,084,2155,0000,Personnel Services - Total*,12799803,12514441,12514441,11044401
2019,0100,084,2155,0100,Contractual Services,,,,
2019,0100,084,2155,0140,For Professional and Technical Services and Other Third,16500,25000,25000,23500
2019,0100,084,2155,0157,Rental of Equipment and Services,70195,70195,70195,63322
2019,0100,084,2155,0159,Lease Purchase Agreements for Equipment and Machinery,4488,4488,4488,4209
2019,0100,084,2155,0160,Repair or Maintenance of Property,38000,50000,50000,45361
2019,0100,084,2155,0162,Repair/Maintenance of Equipment,30149,30149,30149,28340
2019,0100,084,2155,0181,Mobile Communication Services,11400,11491,11491,
2019,0100,084,2155,0185,Waste Disposal Services,35365,35365,35365,33240
2019,0100,084,2155,0188,Vehicle Tracking Service,12816,12816,12816,6086
2019,0100,084,2155,0190,Telephone - Non-Centrex Billings,24000,34000,34000,37600
2019,0100,084,2155,0197,Telephone - Maintenance and Repair of Equipment and,1575,2650,2650,2014
2019,0100,084,2155,0100,Contractual Services - Total*,244488,276154,276154,243672
2019,0100,084,2155,0200,Travel,,,,
2019,0100,084,2155,0229,Transportation and Expense Allowance,,1200,1200,
2019,0100,084,2155,0245,Reimbursement to Travelers,50,50,50,
2019,0100,084,2155,0200,Travel - Total*,50,1250,1250,
2019,0100,084,2155,0300,Commodities and Materials,,,,
2019,0100,084,2155,0313,Cleaning and Sanitation Supplies,2000,2000,2000,1880
2019,0100,084,2155,0316,Gas - Bottled and Propane,16000,16000,16000,16000
2019,0100,084,2155,0319,Clothing,5900,5900,5900,4182
2019,0100,084,2155,0340,Material and Supplies,223537,258161,258161,226577
2019,0100,084,2155,0350,Stationery and Office Supplies,2000,2000,2000,1653
2019,0100,084,2155,0365,Electrical Supplies,21100,21100,21100,19204
2019,0100,084,2155,0300,Commodities and Materials - Total*,270537,305161,305161,269496
2019,0100,084,2155,0400,Equipment,,,,
2019,0100,084,2155,0440,Machinery and Equipment,6500,15325,15325,13224
2019,0100,084,2155,0400,Equipment - Total*,6500,15325,15325,13224
2019,0100,084,2155,,Appropriation Total*,13321378,13112331,13112331,11570793
2019,0100,099,2005,0000,Personnel Services,,,,
2019,0100,099,2005,0003,Scheduled Wage Adjustments,,5670369,5731883,
2019,0100,099,2005,0029,For Health Maintenance Organization Premiums (HMO),93716768,107257226,107257226,94060262
2019,0100,099,2005,0039,For the Employment of Students as Trainees,298400,298400,298400,206405
2019,0100,099,2005,0042,For the Costs of Claims and Administration for Hospital and,232749404,231357278,231357278,169515137
2019,0100,099,2005,0043,For the Health Maintenance Organization Premiums or Cost,980705,1006250,1006250,540631
2019,0100,099,2005,0045,For the Cost of Claims and Administration or Premiums for,2490346,2864540,2864540,2433867
2019,0100,099,2005,0049,Claims and Costs of Administration Pursuant to the Workers',39000000,40000000,40000000,37217291
2019,0100,099,2005,0051,Claims Under Unemployment Insurance Act,3850673,3750673,3750673,3265582
2019,0100,099,2005,0052,Costs of Claims and Administration for Hospital and Medical,7160130,7727290,7727290,8025153
2019,0100,099,2005,0056,For the Cost of Claims and Administration or Premiums for a,11116162,11747901,11747901,11205237
2019,0100,099,2005,0069,PAR Grant Reconciliation,600000,,,
2019,0100,099,2005,0070,Tuition Reimbursement and Educational Programs,205000,205000,205000,200717
2019,0100,099,2005,0095,For Payment of Allowances of Money to Families or,200000,200000,200000,40000
2019,0100,099,2005,0096,For Paying the Salary of Any Sworn Member of the Police or,150000,211514,150000,
2019,0100,099,2005,0000,Personnel Services - Total*,392517588,412296441,412296441,326710282
2019,0100,099,2005,0100,Contractual Services,,,,
2019,0100,099,2005,0135,For Delegate Agencies,4275000,2888000,2150000,1110000
2019,0100,099,2005,0138,For Professional Services for Information Technology,41799101,43149556,43149556,29384886
2019,0100,099,2005,0139,For Professional Services for Information Technology,10510683,2433852,2433852,
2019,0100,099,2005,0140,For Professional and Technical Services and Other Third,56780209,37982317,38720317,38854637
2019,0100,099,2005,0142,Accounting and Auditing,1820000,1820000,1820000,1652939
2019,0100,099,2005,0145,Legal Expenses,2850000,1750000,1750000,
2019,0100,099,2005,0149,For Software Maintenance and Licensing,,38814,38814,
2019,0100,099,2005,0170,Surety Bond Premiums,50000,50000,50000,50000
2019,0100,099,2005,0172,For the Cost of Insurance Premiums and Expenses,2564948,1804948,1804948,1409691
2019,0100,099,2005,0196,Data Circuits,150000,150000,150000,
2019,0100,099,2005,0100,Contractual Services - Total*,120799941,92067487,92067487,72462153
2019,0100,099,2005,0300,Commodities and Materials,,,,
2019,0100,099,2005,0340,Material and Supplies,115000,115200,115200,60677
2019,0100,099,2005,0342,"Drugs, Medicine and Chemical Materials",3125000,125000,125000,
2019,0100,099,2005,0300,Commodities and Materials - Total*,3240000,240200,240200,60677
2019,0100,099,2005,0900,Financial Purposes as Specified,,,,
2019,0100,099,2005,0912,For Payment of Bonds,12000000,5000000,6478572,15292975
2019,0100,099,2005,0931,"For the Payment of Tort and Non-Tort Judgments, Outside",15423400,15423400,15423400,11981620
2019,0100,099,2005,0934,Claims for Damages and Liabilities Against the City When,200000,200000,200000,79093
2019,0100,099,2005,0947,For Financing Payments,1478572,1478572,,
2019,0100,099,2005,0991,To Provide for Matching and Supplementary Grant Funds,8417000,8555830,8555830,5518407
2019,0100,099,2005,0900,Financial Purposes as Specified - Total,37518972,30657802,30657802,32872095
2019,0100,099,2005,9000,Purposes as Specified,,,,
2019,0100,099,2005,9027,For the City Contribution to Social Security Tax,1057681,897841,897841,577908
2019,0100,099,2005,9067,For Physical Exams,210000,,,
2019,0100,099,2005,9076,City's Contribution to Medicare Tax,35342460,35305550,35305550,36549228
2019,0100,099,2005,9097,For Capital Construction,,4655000,4655000,
2019,0100,099,2005,9000,Purposes as Specified - Total,36610141,40858391,40858391,37127136
2019,0100,099,2005,9100,Purposes as Specified,,,,
2019,0100,099,2005,9121,For Payment of Costs Associated with Lobbyist Activities on,480000,480000,480000,435183
2019,0100,099,2005,9176,West Nile Virus Program,425000,425000,425000,398200
2019,0100,099,2005,9180,For World Business Chicago Program,1200000,1200000,1200000,1000000
2019,0100,099,2005,9100,Purposes as Specified - Total,2105000,2105000,2105000,1833383
2019,0100,099,2005,9200,Purposes as Specified,,,,
2019,0100,099,2005,9240,CTA Capital,16000000,16000000,16000000,
2019,0100,099,2005,9241,Community Navigator Services for the Justice System,1000000,1000000,1000000,
2019,0100,099,2005,9291,Legal Protection Fund,1300000,1300000,1300000,1300000
2019,0100,099,2005,9294,CPS Security,,14000000,14000000,
2019,0100,099,2005,9200,Purposes as Specified - Total,18300000,32300000,32300000,1300000
2019,0100,099,2005,9300,Reductions and Transfers of Appropriations,,,,
2019,0100,099,2005,9377,For Transfers to Debt Service,16000000,118000000,118000000,122971000
2019,0100,099,2005,9300,Reductions and Transfers of Appropriations - Total,16000000,118000000,118000000,122971000
2019,0100,099,2005,9500,Purposes as Specified,,,,
2019,0100,099,2005,9540,For Payment of General Obligation Certificate,15702325,4955500,4955500,5225007
2019,0100,099,2005,9500,Purposes as Specified - Total,15702325,4955500,4955500,5225007
2019,0100,099,2005,9600,Reimbursements,,,,
2019,0100,099,2005,9635,To Reimburse Midway Fund for Fire Department Salaries,2852109,2852109,2852109,2852109
2019,0100,099,2005,9636,To Reimburse Midway Fund for Fire Department Benefits,1467410,1467410,1467410,1467410
2019,0100,099,2005,9638,For Corporate Fund Subsidy of Chicago Public Library,7947000,15193000,15193000,18985000
2019,0100,099,2005,9600,Reimbursements - Total,12266519,19512519,19512519,23304519
2019,0100,099,2005,9900,Pension Purposes as Specified,,,,
2019,0100,099,2005,9980,Municipal Fund Pension Allocation,81271000,81271000,81271000,
2019,0100,099,2005,9981,Laborers' Fund Pension Allocation,27056000,19753000,19753000,
2019,0100,099,2005,9982,Policemen's Fund Pension Allocation,18872000,,,
2019,0100,099,2005,9983,Firemen's Fund Pension Allocation,9575000,,,
2019,0100,099,2005,9900,Pension Purposes as Specified - Total,136774000,101024000,101024000,
2019,0100,099,2005,,Appropriation Total*,791834486,854017340,854017340,623866252
2019,0200,003,2005,0000,Personnel Services,,,,
2019,0200,003,2005,0005,Salaries and Wages - on Payroll,1022933,972226,972226,816842
2019,0200,003,2005,0015,Schedule Salary Adjustments,4967,5890,5890,
2019,0200,003,2005,0000,Personnel Services - Total*,1027900,978116,978116,816842
2019,0200,003,2005,0100,Contractual Services,,,,
2019,0200,003,2005,0130,Postage,683,683,683,680
2019,0200,003,2005,0138,For Professional Services for Information Technology,7597,7597,7597,7596
2019,0200,003,2005,0140,For Professional and Technical Services and Other Third,30621,47352,47352,40440
2019,0200,003,2005,0149,For Software Maintenance and Licensing,8457,13457,13457,13456
2019,0200,003,2005,0154,"For the Rental and Maintenance of Data Processing, Office",10031,10031,10031,10028
2019,0200,003,2005,0157,Rental of Equipment and Services,10334,21334,21334,21332
2019,0200,003,2005,0159,Lease Purchase Agreements for Equipment and Machinery,2437,2437,2437,2291
2019,0200,003,2005,0162,Repair/Maintenance of Equipment,1632,1632,1632,132
2019,0200,003,2005,0166,"Dues, Subscriptions and Memberships",5093,5093,5093,2724
2019,0200,003,2005,0169,Technical Meeting Costs,7854,7854,7854,7852
2019,0200,003,2005,0181,Mobile Communication Services,2501,4501,4501,4501
2019,0200,003,2005,0189,Telephone - Non-Centrex Billings,14062,14062,14062,14062
2019,0200,003,2005,0100,Contractual Services - Total*,101302,136033,136033,125094
2019,0200,003,2005,0200,Travel,,,,
2019,0200,003,2005,0245,Reimbursement to Travelers,558,558,558,556
2019,0200,003,2005,0270,Local Transportation,1615,1615,1615,1612
2019,0200,003,2005,0200,Travel - Total*,2173,2173,2173,2168
2019,0200,003,2005,0300,Commodities and Materials,,,,
2019,0200,003,2005,0320,Gasoline,1132,1132,1132,1085
2019,0200,003,2005,0340,Material and Supplies,1608,1608,1608,1608
2019,0200,003,2005,0348,Books and Related Material,1082,1082,1082,943
2019,0200,003,2005,0350,Stationery and Office Supplies,4498,4498,4498,4496
2019,0200,003,2005,0300,Commodities and Materials - Total*,8320,8320,8320,8132
2019,0200,003,2005,0700,Contingencies,1215,8577,8577,12445
2019,0200,003,2005,,Appropriation Total*,1140910,1133219,1133219,964681
2019,0200,005,2005,0000,Personnel Services,,,,
2019,0200,005,2005,0005,Salaries and Wages - on Payroll,130356,124080,124080,123046
2019,0200,005,2005,0000,Personnel Services - Total*,130356,124080,124080,123046
2019,0200,005,2005,,Appropriation Total*,130356,124080,124080,123046
2019,0200,006,2005,0100,Contractual Services,,,,
2019,0200,006,2005,0138,For Professional Services for Information Technology,934000,934000,934000,926660
2019,0200,006,2005,0139,For Professional Services for Information Technology,820000,820000,820000,546236
2019,0200,006,2005,0140,For Professional and Technical Services and Other Third,4477958,4477958,4477958,3754323
2019,0200,006,2005,0149,For Software Maintenance and Licensing,123827,123827,123827,22030
2019,0200,006,2005,0197,Telephone - Maintenance and Repair of Equipment and,21593,21593,21593,
2019,0200,006,2005,0100,Contractual Services - Total*,6377378,6377378,6377378,5249249
2019,0200,006,2005,,Appropriation Total*,6377378,6377378,6377378,5249249
2019,0200,027,2011,0100,Contractual Services,,,,
2019,0200,027,2011,0140,For Professional and Technical Services and Other Third,4552,6552,6552,3930
2019,0200,027,2011,0100,Contractual Services - Total*,4552,6552,6552,3930
2019,0200,027,2011,,Appropriation Total*,4552,6552,6552,3930
2019,0200,027,2012,0000,Personnel Services,,,,
2019,0200,027,2012,0005,Salaries and Wages - on Payroll,420957,269350,269350,275757
2019,0200,027,2012,0015,Schedule Salary Adjustments,3624,,,
2019,0200,027,2012,0000,Personnel Services - Total*,424581,269350,269350,275757
2019,0200,027,2012,,Appropriation Total*,424581,269350,269350,275757
2019,0200,027,2015,0000,Personnel Services,,,,
2019,0200,027,2015,0005,Salaries and Wages - on Payroll,213791,254084,254084,220820
2019,0200,027,2015,0000,Personnel Services - Total*,213791,254084,254084,220820
2019,0200,027,2015,0100,Contractual Services,,,,
2019,0200,027,2015,0140,For Professional and Technical Services and Other Third,20994,19788,19788,10495
2019,0200,027,2015,0149,For Software Maintenance and Licensing,10640,8198,8198,5034
2019,0200,027,2015,0154,"For the Rental and Maintenance of Data Processing, Office",50000,50000,50000,
2019,0200,027,2015,0166,"Dues, Subscriptions and Memberships",432,1644,1644,3797
2019,0200,027,2015,0100,Contractual Services - Total*,82066,79630,79630,19326
2019,0200,027,2015,0200,Travel,,,,
2019,0200,027,2015,0245,Reimbursement to Travelers,382,283,283,
2019,0200,027,2015,0200,Travel - Total*,382,283,283,
2019,0200,027,2015,,Appropriation Total*,296239,333997,333997,240146
2019,0200,027,2020,0000,Personnel Services,,,,
2019,0200,027,2020,0005,Salaries and Wages - on Payroll,2437887,2360877,2360877,2252361
2019,0200,027,2020,0015,Schedule Salary Adjustments,6625,8741,8741,
2019,0200,027,2020,0020,Overtime,1000,4000,4000,34
2019,0200,027,2020,0000,Personnel Services - Total*,2445512,2373618,2373618,2252395
2019,0200,027,2020,0100,Contractual Services,,,,
2019,0200,027,2020,0125,Office and Building Services,1000,2000,2000,1397
2019,0200,027,2020,0130,Postage,1356890,1356890,1356890,903000
2019,0200,027,2020,0140,For Professional and Technical Services and Other Third,4955193,4830793,4830793,4286463
2019,0200,027,2020,0149,For Software Maintenance and Licensing,11500,,,
2019,0200,027,2020,0156,Lock Box Rental,1577,1577,1577,1356
2019,0200,027,2020,0159,Lease Purchase Agreements for Equipment and Machinery,18542,18542,18542,12333
2019,0200,027,2020,0179,Messenger Service,445,445,445,59
2019,0200,027,2020,0100,Contractual Services - Total*,6345147,6210247,6210247,5204608
2019,0200,027,2020,0300,Commodities and Materials,,,,
2019,0200,027,2020,0340,Material and Supplies,3400,3400,3400,
2019,0200,027,2020,0348,Books and Related Material,1400,1400,1400,162
